date,stock,action,price,shares,cost,profit,reason,pnl_pct
20260401,301595.SZ,BUY,54.06433676652473,1800,97315.80617974451,-29.19474185392335,初始买入,0.0
20260401,300454.SZ,BUY,98.09799999999998,1000,98097.99999999999,-29.429399999999994,初始买入,0.0
20260401,300422.SZ,BUY,4.84484,20600,99803.704,-29.941111199999998,初始买入,0.0
20260401,301155.SZ,BUY,65.35529,1500,98032.935,-29.409880499999996,初始买入,0.0
20260401,301037.SZ,BUY,14.464449999999998,6900,99804.70499999999,-29.941411499999994,初始买入,0.0
20260401,301611.SZ,BUY,91.5915,1000,91591.5,-27.477449999999997,初始买入,0.0
20260401,301192.SZ,BUY,26.276249999999997,3800,99849.74999999999,-29.954924999999992,初始买入,0.0
20260401,301390.SZ,BUY,36.84681,2700,99486.38699999999,-29.845916099999993,初始买入,0.0
20260401,300604.SZ,BUY,115.91579999999999,800,92732.63999999998,-27.819791999999993,初始买入,0.0
20260401,300866.SZ,BUY,102.97703824985696,900,92679.33442487127,-27.803800327461378,初始买入,0.0
20260408,300454.SZ,SELL,102.64725,1000,102513.808575,4549.250000000015,调仓卖出,4.637454382352368
20260408,300422.SZ,SELL,4.60539,20600,94747.7016558,-4932.669999999995,调仓卖出,-4.942371677908863
20260408,301155.SZ,SELL,65.12481,1500,97560.2216205,-345.72,调仓卖出,-0.3526569922648992
20260408,301037.SZ,SELL,14.545440000000001,6900,100233.06340320001,558.8310000000238,调仓卖出,0.5599245045612156
20260408,301611.SZ,SELL,95.98392,1000,95859.140904,4392.420000000001,调仓卖出,4.7956633530404025
20260408,301192.SZ,SELL,27.15282,3800,103046.5810692,3330.9660000000035,调仓卖出,3.335978307406884
20260408,301390.SZ,SELL,37.6623,2700,101556.015327,2201.823000000011,调仓卖出,2.2131902327501507
20260408,300604.SZ,SELL,134.0658,800,107113.211568,14520.000000000004,调仓卖出,15.65791721232137
20260408,300866.SZ,SELL,103.06689286489258,900,92639.61531375139,80.86915353205768,调仓卖出,0.08725694248226112
20260408,301626.SZ,BUY,264.26399999999995,300,79279.19999999998,-23.783759999999994,调仓买入,0.0
20260408,300492.SZ,BUY,56.24618999999999,1800,101243.14199999998,-30.37294259999999,调仓买入,0.0
20260408,301662.SZ,BUY,132.61247999999998,700,92828.73599999999,-27.848620799999996,调仓买入,0.0
20260408,300617.SZ,BUY,57.35729999999999,1700,97507.40999999997,-29.25222299999999,调仓买入,0.0
20260408,300751.SZ,BUY,213.21299999999997,400,85285.19999999998,-25.585559999999994,调仓买入,0.0
20260408,301128.SZ,BUY,116.3303361336765,800,93064.2689069412,-27.91928067208236,调仓买入,0.0
20260408,301061.SZ,BUY,54.09461828123821,1900,102779.7747343526,-30.83393242030578,调仓买入,0.0
20260408,300760.SZ,BUY,155.18640961016004,600,93111.84576609603,-27.933553729828805,调仓买入,0.0
20260408,300561.SZ,BUY,11.321309999999999,9000,101891.79,-30.567536999999994,调仓买入,0.0
20260409,301595.SZ,SELL,48.73762304812073,1800,87613.67544868472,-9588.084693127203,止损(9.8%>=8.0%),-9.852546127417149
20260409,301595.SZ,BUY,48.83519586703588,3300,161156.1463612184,-48.346843908365514,调仓买入,0.0
20260412,300492.SZ,SELL,52.19775,1800,93833.807265,-7287.191999999986,止损(8.0%>=8.0%),-7.1977141918412535
20260412,300561.SZ,SELL,16.263720000000003,9000,146183.19447600003,44481.69000000004,止盈(43.8%>=20.0%),43.65581368233893
20260412,300492.SZ,BUY,52.302249999999994,2300,120295.17499999999,-36.08855249999999,调仓买入,0.0
20260412,300561.SZ,BUY,16.29628,7500,122222.09999999999,-36.66662999999999,调仓买入,0.0
20260415,301626.SZ,SELL,276.20352,300,82753.33662720001,3581.8560000000216,调仓卖出,4.518027427118354
20260415,301662.SZ,SELL,145.53432,700,101741.5877688,9045.288000000022,调仓卖出,9.74406028753858
20260415,300617.SZ,SELL,59.51043,1700,101036.2129497,3660.3210000000195,调仓卖出,3.7538900889686477
20260415,300751.SZ,SELL,231.65811,400,92542.7817828,7378.044000000011,调仓卖出,8.651025031306725
20260415,301128.SZ,SELL,135.105181856281,800,107943.63609589428,15019.876578083607,调仓卖出,16.139251674670763
